sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species_name,petal_area,sepal_area,shape_ratio,avg_petal_length_by_species
5.1,3.5,1.4,0.2,setosa,0.27999999999999997,17.849999999999998,0.27450980392156865,1.462
4.9,3.0,1.4,0.2,setosa,0.27999999999999997,14.700000000000001,0.2857142857142857,1.462
4.7,3.2,1.3,0.2,setosa,0.26,15.040000000000001,0.2765957446808511,1.462
4.6,3.1,1.5,0.2,setosa,0.30000000000000004,14.26,0.32608695652173914,1.462
5.0,3.6,1.4,0.2,setosa,0.27999999999999997,18.0,0.27999999999999997,1.462
5.4,3.9,1.7,0.4,setosa,0.68,21.060000000000002,0.31481481481481477,1.462
4.6,3.4,1.4,0.3,setosa,0.42,15.639999999999999,0.30434782608695654,1.462
5.0,3.4,1.5,0.2,setosa,0.30000000000000004,17.0,0.3,1.462
4.4,2.9,1.4,0.2,setosa,0.27999999999999997,12.76,0.3181818181818181,1.462
4.9,3.1,1.5,0.1,setosa,0.15000000000000002,15.190000000000001,0.3061224489795918,1.462
5.4,3.7,1.5,0.2,setosa,0.30000000000000004,19.980000000000004,0.27777777777777773,1.462
4.8,3.4,1.6,0.2,setosa,0.32000000000000006,16.32,0.33333333333333337,1.462
4.8,3.0,1.4,0.1,setosa,0.13999999999999999,14.399999999999999,0.2916666666666667,1.462
4.3,3.0,1.1,0.1,setosa,0.11000000000000001,12.899999999999999,0.2558139534883721,1.462
5.8,4.0,1.2,0.2,setosa,0.24,23.2,0.20689655172413793,1.462
5.7,4.4,1.5,0.4,setosa,0.6000000000000001,25.080000000000002,0.2631578947368421,1.462
5.4,3.9,1.3,0.4,setosa,0.52,21.060000000000002,0.24074074074074073,1.462
5.1,3.5,1.4,0.3,setosa,0.42,17.849999999999998,0.27450980392156865,1.462
5.7,3.8,1.7,0.3,setosa,0.51,21.66,0.2982456140350877,1.462
5.1,3.8,1.5,0.3,setosa,0.44999999999999996,19.38,0.29411764705882354,1.462
5.4,3.4,1.7,0.2,setosa,0.34,18.36,0.31481481481481477,1.462
5.1,3.7,1.5,0.4,setosa,0.6000000000000001,18.87,0.29411764705882354,1.462
4.6,3.6,1.0,0.2,setosa,0.2,16.56,0.2173913043478261,1.462
5.1,3.3,1.7,0.5,setosa,0.85,16.83,0.33333333333333337,1.462
4.8,3.4,1.9,0.2,setosa,0.38,16.32,0.3958333333333333,1.462
5.0,3.0,1.6,0.2,setosa,0.32000000000000006,15.0,0.32,1.462
5.0,3.4,1.6,0.4,setosa,0.6400000000000001,17.0,0.32,1.462
5.2,3.5,1.5,0.2,setosa,0.30000000000000004,18.2,0.28846153846153844,1.462
5.2,3.4,1.4,0.2,setosa,0.27999999999999997,17.68,0.2692307692307692,1.462
4.7,3.2,1.6,0.2,setosa,0.32000000000000006,15.040000000000001,0.3404255319148936,1.462
4.8,3.1,1.6,0.2,setosa,0.32000000000000006,14.879999999999999,0.33333333333333337,1.462
5.4,3.4,1.5,0.4,setosa,0.6000000000000001,18.36,0.27777777777777773,1.462
5.2,4.1,1.5,0.1,setosa,0.15000000000000002,21.32,0.28846153846153844,1.462
5.5,4.2,1.4,0.2,setosa,0.27999999999999997,23.1,0.2545454545454545,1.462
4.9,3.1,1.5,0.2,setosa,0.30000000000000004,15.190000000000001,0.3061224489795918,1.462
5.0,3.2,1.2,0.2,setosa,0.24,16.0,0.24,1.462
5.5,3.5,1.3,0.2,setosa,0.26,19.25,0.23636363636363636,1.462
4.9,3.6,1.4,0.1,setosa,0.13999999999999999,17.64,0.2857142857142857,1.462
4.4,3.0,1.3,0.2,setosa,0.26,13.200000000000001,0.2954545454545454,1.462
5.1,3.4,1.5,0.2,setosa,0.30000000000000004,17.34,0.29411764705882354,1.462
5.0,3.5,1.3,0.3,setosa,0.39,17.5,0.26,1.462
4.5,2.3,1.3,0.3,setosa,0.39,10.35,0.2888888888888889,1.462
4.4,3.2,1.3,0.2,setosa,0.26,14.080000000000002,0.2954545454545454,1.462
5.0,3.5,1.6,0.6,setosa,0.96,17.5,0.32,1.462
5.1,3.8,1.9,0.4,setosa,0.76,19.38,0.37254901960784315,1.462
4.8,3.0,1.4,0.3,setosa,0.42,14.399999999999999,0.2916666666666667,1.462
5.1,3.8,1.6,0.2,setosa,0.32000000000000006,19.38,0.3137254901960785,1.462
4.6,3.2,1.4,0.2,setosa,0.27999999999999997,14.719999999999999,0.30434782608695654,1.462
5.3,3.7,1.5,0.2,setosa,0.30000000000000004,19.61,0.2830188679245283,1.462
5.0,3.3,1.4,0.2,setosa,0.27999999999999997,16.5,0.27999999999999997,1.462
7.0,3.2,4.7,1.4,versicolor,6.58,22.400000000000002,0.6714285714285715,4.26
