carat,cut,color,clarity,depth,table,price,x,y,z,volume
1.7,Ideal,J,VS2,60.5,58.0,10002,7.73,7.74,4.68,280.005336
1.03,Ideal,E,VVS2,60.6,59.0,10003,6.5,6.53,3.95,167.65775000000002
1.23,Very Good,G,VVS2,60.6,55.0,10004,6.93,7.02,4.23,205.783578
1.25,Ideal,F,VS2,61.6,55.0,10006,6.93,6.96,4.28,206.436384
2.01,Very Good,I,SI2,61.4,63.0,10009,8.19,7.96,4.96,323.35430399999996
1.21,Very Good,F,VS1,62.3,58.0,10009,6.76,6.85,4.24,196.33744
1.51,Premium,I,VS2,59.9,60.0,10010,7.42,7.36,4.43,241.927616
1.01,Fair,D,SI2,64.6,58.0,10011,6.25,6.2,4.02,155.77499999999998
1.05,Ideal,F,VVS2,60.5,55.0,10011,6.67,6.58,4.01,175.99328599999998
1.6,Ideal,J,VS1,62.0,53.0,10011,7.57,7.56,4.69,268.404948
1.51,Premium,H,SI1,61.2,60.0,10012,7.46,7.37,4.54,249.61010800000003
1.35,Premium,G,VS1,62.1,59.0,10012,7.06,7.02,4.37,216.58244399999998
1.51,Very Good,E,SI2,63.2,56.0,10012,7.32,7.26,4.61,244.99015200000002
1.51,Premium,H,SI1,61.3,60.0,10012,7.33,7.29,4.48,239.39193600000004
1.51,Ideal,H,SI1,61.3,56.0,10012,7.44,7.4,4.55,250.50480000000002
1.53,Premium,I,VS2,62.0,58.0,10013,7.36,7.41,4.58,249.78220800000003
1.13,Ideal,F,VS1,60.9,57.0,10016,6.73,6.76,4.11,186.983628
1.21,Premium,F,VS1,62.6,59.0,10018,6.81,6.76,4.25,195.6513
1.01,Very Good,F,VVS1,62.9,57.0,10019,6.35,6.41,4.01,163.22103499999997
1.5,Very Good,G,SI1,60.1,61.0,10019,7.28,7.4,4.41,237.57552000000004
1.5,Very Good,G,SI1,62.1,58.0,10019,7.26,7.3,4.52,239.55095999999998
1.04,Ideal,E,VVS2,62.9,55.0,10019,6.47,6.51,4.08,171.84837599999997
1.26,Very Good,G,VVS2,60.9,56.0,10020,6.95,7.01,4.25,207.057875
1.51,Premium,G,SI1,58.7,60.0,10020,7.55,7.48,4.41,249.05034000000003
1.51,Premium,H,SI1,60.7,59.0,10020,7.43,7.39,4.5,247.08464999999998
1.51,Premium,G,SI1,60.6,58.0,10020,7.47,7.39,4.5,248.41485
1.51,Premium,G,SI1,59.7,58.0,10020,7.5,7.45,4.46,249.2025
1.51,Premium,G,SI1,62.0,58.0,10020,7.31,7.26,4.52,239.87911199999996
1.5,Very Good,H,VS2,60.9,59.0,10023,7.37,7.43,4.51,246.96354099999996
1.12,Premium,F,VVS2,62.4,59.0,10028,6.58,6.66,4.13,180.988164
1.27,Premium,F,VS1,60.3,58.0,10028,7.06,7.04,4.25,211.2352
1.02,Very Good,E,IF,61.7,60.0,10029,6.38,6.52,3.98,165.558448
1.66,Premium,G,SI2,59.1,58.0,10030,7.77,7.69,4.57,273.063441
1.03,Very Good,F,IF,62.8,57.0,10032,6.4,6.47,4.04,167.28832
1.52,Very Good,I,VS1,62.9,59.9,10032,7.27,7.31,4.59,243.92958299999998
1.24,Premium,F,VS1,62.5,58.0,10033,6.87,6.83,4.28,200.82658800000002
1.23,Very Good,F,VS1,62.0,59.0,10035,6.84,6.87,4.25,199.7109
1.54,Very Good,G,SI1,61.3,59.0,10036,7.38,7.41,4.53,247.726674
1.5,Good,G,VS1,63.6,57.0,10036,7.23,7.14,4.57,235.913454
1.22,Ideal,G,VVS2,62.3,56.0,10038,6.81,6.84,4.25,197.9667
1.3,Ideal,G,VS1,62.0,55.0,10038,6.98,7.02,4.34,212.658264
1.5,Premium,H,SI1,59.0,62.0,10038,7.39,7.31,4.56,246.33530399999998
1.59,Premium,I,VS2,60.2,60.0,10039,7.58,7.61,4.57,263.61496600000004
2.09,Premium,I,SI2,60.1,59.0,10042,8.34,8.3,5.0,346.11
1.83,Premium,I,VS2,60.5,60.0,10043,7.93,7.86,4.78,297.936444
1.07,Ideal,E,VVS2,61.4,56.0,10043,6.65,6.55,4.05,176.40787500000002
